nbre_eleves_segpa;latitude;longitude;effectifs_filles;effectifs_garcons
0;50.60722395909997;3.063599555138808;189;173
0;43.21227879537586;2.349310082875352;173;158
0;48.39457538840429;6.975126001023535;142;129
65;47.71044564035731;-1.3844179749751808;323;325
57;43.8104670615702;4.622010183247755;247;296
51;48.88849708458435;2.359696342198929;241;222
0;48.44041161771185;5.156077998088681;151;141
0;43.43804774313768;6.755632401599427;266;235
0;48.393866921306376;2.9589829046749982;264;273
0;47.080476110737266;-0.275900840150203;82;85
0;48.93900977985926;2.5365920570459806;314;347
62;47.0540823007082;-0.89776970100763;217;296
0;45.49838174714388;4.573189781031106;336;379
0;47.97624269014131;3.42230229289232;241;259
104;48.07362069680313;7.32905319590329;274;242
63;45.68991129669038;4.891154691482821;291;350
0;49.1629203433612;6.744419552148368;172;197
0;-12.780679988297914;45.231699944710876;921;809
56;44.132806298096284;4.078730529941349;296;297
0;48.9987566129931;1.7039515622713195;195;182
0;43.656755635436774;6.918969875601205;229;218
48;49.30962946567946;1.0286036136248429;178;208
54;48.96370244417755;2.3886743234195436;328;417
0;43.64264400980377;3.817089710403796;295;309
46;50.413317684274226;2.862969385858147;173;219
0;-20.885100424269222;55.452245233221355;445;424
0;43.881685697463915;4.8648404259387625;498;591
55;48.96370244417755;2.3886743234195436;357;402
72;45.251692609672645;4.676279698777128;397;422
60;47.3463353760834;0.6683205684355672;161;178
42;50.43556699322092;2.7557494341030004;321;326
0;49.544708645677595;5.790349509391255;124;102
0;-12.843618744372092;45.18607944368876;961;886
0;48.82891797678627;2.377939274649507;270;269
0;48.90167190949877;2.4878894507438734;268;271
42;43.12944123027359;5.891278619390651;252;288
96;48.43339819251506;1.454989472728926;194;227
64;49.57052160326197;0.48505623165713097;308;340
60;49.477774133334776;1.0398143289156496;329;306
0;-12.797564152823776;45.282331041089684;735;755
0;47.23090401945198;-1.5917102604048903;159;158
109;44.0628844411088;5.055179764114935;353;396
123;43.52563799847461;5.420919924379433;242;282
0;48.74701182417946;2.4097993928312675;254;290
0;48.94021045953347;2.5213004283582845;276;314
0;47.47165765562169;6.85640985034442;130;155
0;49.23013890968722;2.1407595120776297;236;228
0;47.419767086502176;0.681989836662814;136;148
0;49.410872621247876;2.82072362679193;223;217
51;50.15607697220997;2.336124610540266;292;321
0;48.968619682081524;2.366854183789725;356;320
115;-12.785306421655719;45.280037966408415;999;875
0;44.16255645283105;4.613679404873639;387;362
0;48.96445296387383;2.338939659700138;240;260
0;51.01131527401728;2.3041700698011334;164;164
0;-21.04490310971959;55.71872706153563;229;268
58;45.81395310431876;1.272164068477409;363;397
0;46.269703224742685;5.6713336668774454;322;341
0;14.605006324249858;-61.06635696326365;147;146
